Matrícula;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10
GRR20152057;68;88;86;90;90;91;;;;
GRR20152082;38;68;24;78;40;40;;;60;
GRR20130332;76;34;66;68;70;56;;;90;
GRR20158954;86;56;5;64;30;48;;;60;
GRR20151704;;30;30;74;60;36;;;70;
GRR20141513;63;78;78;82;40;56;;;;
GRR20155858;79;82;43;72;60;48;;;80;
GRR20157882;73;52;;60;10;48;;;40;
GRR20151584;70;48;;70;20;44;;;50;
GRR20158408;78;82;64;100;70;84;;;;
GRR20152917;75;60;63;66;70;84;;;100;
GRR20145231;68;66;90;78;60;;;;;
GRR20137411;;46;35;84;60;40;;;50;
GRR20140726;71;56;87;88;50;66;;;80;
GRR20151260;80;30;32;70;60;64;;;70;
GRR20151297;72;46;;;;;;;;
GRR20152670;54;40;28;66;;;;;;
GRR20152787;64;70;92;82;60;80;;;90;
GRR20142738;;;;;;;;;;
GRR20142928;78;88;91;96;70;76;;;80;
GRR20157822;65;74;4;;30;52;;;80;
GRR20142936;;;;;;;;;;
GRR20153767;35;58;84;84;20;44;;;50;
GRR20113106;;;0;;;;;;;
GRR20127314;52;;28;72;40;52;;;90;
GRR20132857;66;42;23;76;20;52;;;80;
GRR20141348;69;52;47;70;80;60;;;60;
GRR20132932;;42;80;66;60;52;;;70;
GRR20135918;85;74;77;94;80;80;;;80;
GRR20146982;80;88;92;86;70;76;;;80;
GRR20154108;84;84;65;94;80;56;;;;
GRR20153807;41;16;45;82;70;60;;;70;
GRR20143886;77;44;24;66;30;36;;;;
GRR20159607;48;58;23;72;60;32;;;50;
GRR20159933;62;84;66;88;70;44;;;80;
GRR20133825;72;34;18;68;60;48;;;60;
GRR20144018;92;88;92;72;80;;;;;
GRR20157747;29;36;;;;;;;;
GRR20140076;84;56;71;100;30;76;;;50;
GRR20150593;72;44;81;96;60;44;;;80;
GRR20144489;70;48;83;74;10;44;;;50;
GRR20155146;61;56;9;58;50;52;;;70;
