Matrícula,S1,S2
GRR20171890,NA,64
GRR20170059,NA,NA
GRR20141751,NA,NA
GRR20171140,66,28
GRR20163020,50,NA
GRR20174665,NA,NA
GRR20175911,84,80
GRR20177440,68,36
GRR20175890,100,76
GRR20171169,NA,NA
GRR20171882,84,74
GRR20131097,NA,NA
GRR20171869,58,48
GRR20171871,NA,NA
GRR20177433,74,64
GRR20176985,68,46
GRR20171867,62,56
GRR20176675,NA,64
GRR20165521,82,NA
GRR20171899,NA,NA
GRR20172927,62,54
GRR20148177,NA,NA
GRR20165401,NA,NA
GRR20176690,60,70
GRR20156552,88,58
GRR20132081,NA,78
ISO20170037,NA,NA
GRR20166598,82,80
GRR20163741,50,42
GRR20171900,50,50
GRR20157651,NA,NA
GRR20170258,60,76
GRR20158885,NA,NA
GRR20177015,52,66
GRR20163436,NA,NA
GRR20176994,64,NA
GRR20149018,NA,58
GRR20134206,NA,NA
GRR20159677,NA,NA
GRR20177487,66,54
GRR20163732,72,60
GRR20172904,52,56
GRR20176986,70,36
